Acedamic percentage,Hours Studying per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability,Extra-courses did,certifications,talenttests taken,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour,Salary/work,hard/smart worker,Introvert,Suggested Job Role
90,4,7,4,3,7,yes,no,Certified Accounting Technician (CAT),no,RemoteWork,poor,excellent,Forensic Accounting,Financial Planning and Analysis,job,yes,yes,Horror,salary,gentle,salary,smart worker,no,Accountant
74,4,9,3,3,6,yes,no,Certificate in Legal Studies,no,OfficeBased,medium,medium,Constitutional Law,Litigation,higherstudies,no,yes,Dictionaries,Work,gentle,work,hard worker,no,Lawyer
78,7,2,6,1,1,no,no,Coursera: Introduction to Digital Marketing,yes,OfficeBased,poor,medium,Entertainment Business and Management,Film and Television Production,job,no,yes,Horror,salary,stubborn,work,smart worker,yes,Entertainment industry
69,6,7,4,6,7,yes,yes,First Aid and CPR Certification,no,OfficeBased,excellent,excellent,Human Anatomy and Physiology,Public Health,higherstudies,yes,no,Romance,salary,stubborn,salary,smart worker,yes,Doctor
91,6,3,0,2,9,yes,yes,Sports First Aid Certification,yes,Fieldwork,excellent,poor,Sports Management and Administration,Sports Marketing and Sponsorship,higherstudies,no,yes,Autobiographies,Work,stubborn,work,smart worker,yes,Sports person
91,9,4,2,9,2,no,no,Coursera: Introduction to Research Methods,yes,OfficeBased,excellent,poor,The Structure of Scientific Revolutions,Research and Development,job,yes,no,Trilogy,salary,stubborn,work,hard worker,no,Scientist
66,9,7,0,3,8,yes,yes,Associate Chartered Banker (ACIB),yes,Fieldwork,excellent,poor,Financial Markets,Private Wealth Management,higherstudies,yes,no,Comics,salary,gentle,salary,smart worker,yes,Banker
80,12,7,1,5,8,no,no,Certified SolidWorks Associate (CSWA),yes,Fieldwork,medium,medium,Physics and Mechanics,Product Engineer,job,yes,no,Art,salary,stubborn,work,smart worker,yes,Engineer
87,9,4,5,3,5,no,yes,Coursera: Introduction to Research Methods,yes,OfficeBased,poor,medium,Lab Girl,Research and Development,job,no,yes,Self help,Work,stubborn,salary,hard worker,yes,Scientist
80,10,7,0,5,7,yes,yes,Coursera: Foundations of Business Strategy,yes,OfficeBased,poor,medium,Master the Art of Business,Management Consulting,higherstudies,no,yes,Guide,salary,stubborn,work,hard worker,no,MBA
81,5,9,2,6,9,no,no,Coursera: Foundations of Business Strategy,no,Fieldwork,medium,medium,The Lean Startup,Entrepreneurship and Startup Management,job,yes,yes,Health,Work,stubborn,work,hard worker,yes,MBA
93,7,3,1,4,3,no,no,Certificate in Laboratory Techniques,no,RemoteWork,poor,excellent,The Structure of Scientific Revolutions,Academic Research and Teaching,job,no,yes,Travel,salary,stubborn,salary,smart worker,yes,Scientist
65,6,9,1,6,8,no,yes,Certificate in Banking and Finance,yes,OfficeBased,poor,excellent,Corporate Finance,Private Wealth Management,higherstudies,no,yes,Diaries,Work,gentle,work,hard worker,no,Banker
83,12,1,4,2,6,yes,no,Coursera: Introduction to Digital Marketing,yes,RemoteWork,medium,excellent,Media Studies and Communication,Music Industry Management,higherstudies,no,yes,Horror,Work,gentle,salary,smart worker,no,Entertainment industry
70,7,1,5,9,2,no,yes,Certified Nursing Assistant (CNA),yes,RemoteWork,poor,poor,Human Anatomy and Physiology,Medical Research,higherstudies,yes,no,Satire,Work,stubborn,work,hard worker,no,Doctor
84,6,7,2,5,7,yes,yes,Coursera: Introduction to Digital Marketing,yes,OfficeBased,medium,poor,Entertainment Business and Management,Music Industry Management,higherstudies,no,yes,Prayer books,salary,stubborn,work,hard worker,no,Entertainment industry
83,6,1,5,8,8,no,no,Certificate in Media Production,no,RemoteWork,medium,poor,Media Studies and Communication,Film and Television Production,job,yes,yes,Math,salary,stubborn,work,smart worker,no,Entertainment industry
86,10,6,5,7,5,yes,no,Certificate in Business Administration,yes,RemoteWork,excellent,excellent,Master the Art of Business,Entrepreneurship and Startup Management,higherstudies,yes,yes,Dictionaries,Work,gentle,salary,hard worker,yes,MBA
72,7,6,1,4,1,no,yes,First Aid and CPR Certification,yes,RemoteWork,medium,poor,Medical Ethics and Professionalism,Public Health,higherstudies,yes,yes,Religion-Spirituality,Work,gentle,work,hard worker,yes,Doctor
79,7,1,1,2,8,no,no,Certified SolidWorks Associate (CSWA),no,RemoteWork,excellent,excellent,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,higherstudies,yes,yes,Cookbooks,Work,stubborn,salary,smart worker,no,Engineer
65,8,3,2,5,6,yes,no,Certificate in Banking and Finance,yes,Fieldwork,excellent,poor,Financial Markets,Private Wealth Management,job,no,no,Action and Adventure,salary,gentle,salary,smart worker,no,Banker
70,10,1,6,4,1,no,no,Certificate in Legal Studies,no,Fieldwork,poor,excellent,Constitutional Law,Litigation,job,yes,yes,Anthology,salary,gentle,work,smart worker,no,Lawyer
93,12,5,3,1,1,yes,yes,Coursera: Introduction to Research Methods,no,Fieldwork,excellent,excellent,The Structure of Scientific Revolutions,Academic Research and Teaching,higherstudies,no,yes,Self help,salary,stubborn,work,smart worker,no,Scientist
94,4,8,3,3,5,no,no,Sports First Aid Certification,no,Fieldwork,poor,excellent,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,job,yes,yes,Art,Work,stubborn,work,hard worker,yes,Sports person
83,12,9,2,3,9,yes,yes,Coursera: Foundations of Business Strategy,no,Fieldwork,poor,poor,Master the Art of Business,Entrepreneurship and Startup Management,job,yes,yes,History,Work,stubborn,salary,smart worker,yes,MBA
91,7,9,2,1,3,no,no,Sports First Aid Certification,no,RemoteWork,medium,excellent,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,job,yes,yes,Art,salary,stubborn,work,smart worker,no,Sports person
82,6,1,5,2,4,yes,no,Teaching Certificate/License,yes,OfficeBased,medium,medium,Curriculum Development and Instructional Design,Educational Technology Specialist,job,yes,no,Self help,salary,stubborn,salary,smart worker,yes,Teacher
67,6,1,2,5,9,yes,yes,Associate Chartered Banker (ACIB),yes,OfficeBased,excellent,poor,Corporate Finance,Investment Banking,job,no,no,Diaries,Work,gentle,salary,smart worker,yes,Banker
71,10,9,4,4,3,no,yes,Certificate in Legal Studies,no,RemoteWork,excellent,poor,Legal Research and Writing,Litigation,higherstudies,no,no,Diaries,Work,stubborn,salary,hard worker,no,Lawyer
93,11,3,5,6,5,no,yes,Certified Fitness Trainer (CFT),yes,Fieldwork,medium,excellent,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,higherstudies,yes,yes,Biographies,salary,gentle,work,hard worker,yes,Sports person
62,6,6,2,5,2,yes,no,Unity Certified User,yes,OfficeBased,poor,medium,Unity in Action,Game Design,job,yes,no,Religion-Spirituality,salary,stubborn,salary,smart worker,no,Game Developer
77,8,2,5,6,4,no,no,Certified SolidWorks Associate (CSWA),no,RemoteWork,excellent,excellent,Physics and Mechanics,Artificial Intelligence and Machine Learning,job,yes,yes,Autobiographies,Work,stubborn,work,smart worker,yes,Engineer
85,4,1,5,7,5,yes,yes,Certificate in Media Production,yes,Fieldwork,poor,medium,Entertainment Business and Management,Music Industry Management,job,yes,no,Journals,salary,gentle,work,smart worker,no,Entertainment industry
64,7,3,0,1,3,yes,yes,Diploma in Pharmaceutical Sciences,yes,OfficeBased,medium,excellent,Pharmacology,Pharmaceutical Research and Development,job,yes,no,Guide,Work,gentle,salary,hard worker,no,Pharmacy
89,11,5,3,1,9,no,no,Sports First Aid Certification,yes,OfficeBased,excellent,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,job,yes,no,Dictionaries,Work,gentle,salary,hard worker,yes,Sports person
77,12,1,0,5,9,no,yes,Coursera: Foundations of Business Strategy,no,RemoteWork,excellent,excellent,The Lean Startup,Entrepreneurship and Startup Management,job,yes,no,Fantasy,salary,gentle,salary,hard worker,yes,MBA
86,12,2,6,3,5,yes,no,Coursera: Foundations of Business Strategy,no,OfficeBased,medium,poor,The Lean Startup,Entrepreneurship and Startup Management,higherstudies,yes,yes,Dictionaries,salary,stubborn,work,hard worker,no,MBA
65,12,8,4,9,4,yes,no,Diploma in Pharmaceutical Sciences,no,Fieldwork,medium,medium,Pharmaceutical Chemistry,Pharmaceutical Research and Development,higherstudies,no,yes,Mystery,Work,gentle,work,hard worker,yes,Pharmacy
62,10,8,1,3,8,yes,yes,Coursera: Introduction to Game Development,no,Fieldwork,excellent,poor,Game Programming Patterns,Game Programming,job,yes,yes,Religion-Spirituality,salary,stubborn,work,smart worker,no,Game Developer
92,4,6,4,5,4,no,yes,Sports First Aid Certification,yes,RemoteWork,excellent,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,job,no,no,Cookbooks,salary,stubborn,salary,smart worker,yes,Sports person
62,7,8,4,6,7,no,no,Pharmacy Technician Certification (CPhT),no,Fieldwork,poor,medium,Pharmacology,Clinical Pharmacy,job,yes,no,Health,Work,stubborn,work,smart worker,no,Pharmacy
84,7,7,1,4,4,yes,no,Certificate in Media Production,yes,Fieldwork,excellent,poor,Media Studies and Communication,Music Industry Management,job,no,yes,Math,Work,stubborn,work,smart worker,no,Entertainment industry
80,12,8,0,1,5,yes,yes,Certified SolidWorks Associate (CSWA),no,OfficeBased,medium,poor,Physics and Mechanics,Product Engineer,higherstudies,yes,yes,Anthology,Work,gentle,salary,hard worker,yes,Engineer
89,7,7,1,6,2,yes,yes,Certified Fitness Trainer (CFT),no,Fieldwork,excellent,medium,Sports Management and Administration,Sports Marketing and Sponsorship,higherstudies,no,no,Childrens,salary,stubborn,salary,hard worker,yes,Sports person
87,6,8,6,7,6,yes,no,Sports First Aid Certification,no,OfficeBased,excellent,excellent,Sports Management and Administration,Sports Medicine and Athletic Training,higherstudies,yes,yes,Dictionaries,Work,stubborn,salary,smart worker,no,Sports person
74,10,4,4,9,3,yes,yes,First Aid and CPR Certification,no,Fieldwork,excellent,poor,Medical Ethics and Professionalism,Public Health,job,yes,no,Poetry,Work,gentle,salary,hard worker,no,Doctor
68,9,8,5,4,2,no,no,Coursera: Introduction to Law,no,OfficeBased,medium,poor,Legal Research and Writing,Corporate Law,job,yes,yes,Dictionaries,Work,gentle,work,hard worker,no,Lawyer
82,4,4,5,5,2,no,no,Teaching Certificate/License,yes,Fieldwork,poor,medium,Educational Psychology,Education Policy and Advocacy,job,yes,no,Satire,Work,gentle,salary,hard worker,no,Teacher
65,11,4,0,1,3,no,no,Unity Certified User,yes,Fieldwork,medium,poor,Game Programming Patterns,Game Design,job,yes,no,Satire,Work,stubborn,work,smart worker,no,Game Developer
62,10,9,1,7,1,no,yes,Coursera: Introduction to Game Development,yes,OfficeBased,poor,medium,Unity in Action,Game Programming,job,yes,yes,Self help,salary,stubborn,work,smart worker,no,Game Developer
83,10,2,2,4,9,yes,no,Teaching Certificate/License,yes,RemoteWork,excellent,excellent,Educational Psychology,Education Policy and Advocacy,job,no,no,Science,Work,gentle,work,smart worker,no,Teacher
85,6,9,2,7,7,no,yes,Coursera: Introduction to Digital Marketing,yes,OfficeBased,medium,medium,Media Studies and Communication,Music Industry Management,job,yes,no,Horror,salary,gentle,salary,hard worker,yes,Entertainment industry
82,7,2,4,2,2,no,yes,AutoCAD Certification,yes,Fieldwork,medium,poor,Mathematics and Applied Mathematics,Product Engineer,job,yes,yes,Action and Adventure,salary,stubborn,salary,hard worker,yes,Engineer
92,5,5,5,5,3,no,yes,Certificate in Laboratory Techniques,no,Fieldwork,excellent,poor,Lab Girl,Academic Research and Teaching,higherstudies,yes,no,Satire,Work,stubborn,work,smart worker,no,Scientist
88,6,4,3,4,1,yes,no,Certified Fitness Trainer (CFT),no,Fieldwork,excellent,excellent,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,higherstudies,no,yes,Action and Adventure,Work,stubborn,work,hard worker,no,Sports person
91,6,3,6,3,5,yes,yes,Certified Fitness Trainer (CFT),no,OfficeBased,poor,medium,Sports Management and Administration,Sports Medicine and Athletic Training,higherstudies,yes,yes,Cookbooks,Work,gentle,salary,hard worker,no,Sports person
77,11,6,4,6,7,no,no,Certificate in Financial Markets,no,Fieldwork,poor,poor,The Intelligent Investor,Financial Analysis,higherstudies,yes,no,History,salary,gentle,work,hard worker,no,Stock Investor
66,4,1,1,5,4,no,no,Certificate in Banking and Finance,no,OfficeBased,poor,excellent,Financial Markets,Private Wealth Management,job,yes,no,Biographies,Work,stubborn,work,hard worker,yes,Banker
72,6,9,2,2,2,no,yes,First Aid and CPR Certification,yes,Fieldwork,poor,medium,Human Anatomy and Physiology,Medical Research,job,no,no,Series,salary,gentle,salary,smart worker,yes,Doctor
78,5,4,5,9,5,yes,no,Certificate in Business Administration,no,RemoteWork,medium,medium,The Lean Startup,Management Consulting,job,yes,no,Health,salary,gentle,salary,hard worker,no,MBA
74,8,4,1,3,3,yes,yes,Coursera: Introduction to Law,no,OfficeBased,poor,excellent,Constitutional Law,Litigation,job,no,yes,Childrens,Work,gentle,salary,hard worker,yes,Lawyer
74,11,1,1,3,9,yes,no,Certified Nursing Assistant (CNA),no,RemoteWork,excellent,poor,Medical Ethics and Professionalism,Medical Research,job,no,yes,Self help,salary,stubborn,work,hard worker,yes,Doctor
66,12,9,4,6,1,no,yes,Pharmacy Technician Certification (CPhT),no,RemoteWork,medium,poor,Pharmaceutical Chemistry,Clinical Pharmacy,higherstudies,yes,yes,History,Work,stubborn,work,smart worker,yes,Pharmacy
61,8,6,3,2,2,yes,yes,Associate Chartered Banker (ACIB),no,Fieldwork,poor,excellent,Corporate Finance,Investment Banking,job,yes,no,Art,salary,stubborn,work,smart worker,yes,Banker
69,6,7,5,1,7,yes,yes,Certified Nursing Assistant (CNA),yes,RemoteWork,medium,excellent,Human Anatomy and Physiology,Public Health,higherstudies,yes,yes,Science fiction,Work,stubborn,salary,hard worker,yes,Doctor
68,6,3,2,7,6,yes,yes,Diploma in Pharmaceutical Sciences,yes,OfficeBased,poor,poor,Pharmaceutical Chemistry,Pharmaceutical Research and Development,job,yes,yes,History,Work,gentle,salary,hard worker,no,Pharmacy
88,11,5,0,2,4,yes,yes,Certified Fitness Trainer (CFT),yes,RemoteWork,excellent,poor,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,higherstudies,no,no,Art,salary,stubborn,work,hard worker,no,Sports person
90,4,5,3,9,8,no,yes,Coursera: Introduction to Research Methods,no,Fieldwork,poor,excellent,The Structure of Scientific Revolutions,Research and Development,higherstudies,no,no,Satire,Work,stubborn,salary,smart worker,yes,Scientist
65,8,1,0,7,8,no,yes,Pharmacy Technician Certification (CPhT),yes,Fieldwork,medium,excellent,Pharmaceutical Chemistry,Clinical Pharmacy,job,yes,yes,Horror,salary,stubborn,salary,hard worker,yes,Pharmacy
72,5,9,0,8,8,yes,no,First Aid and CPR Certification,yes,OfficeBased,excellent,poor,Human Anatomy and Physiology,Public Health,higherstudies,yes,yes,Self help,Work,gentle,salary,smart worker,no,Doctor
77,12,3,1,9,6,no,yes,AutoCAD Certification,no,RemoteWork,excellent,poor,Physics and Mechanics,Artificial Intelligence and Machine Learning,job,yes,yes,Autobiographies,salary,stubborn,salary,hard worker,no,Engineer
63,8,6,0,8,8,no,no,Certificate in Banking and Finance,no,RemoteWork,excellent,medium,Corporate Finance,Investment Banking,job,no,no,Childrens,Work,gentle,salary,smart worker,yes,Banker
94,6,4,4,2,8,no,yes,Diploma in Accounting,no,OfficeBased,poor,excellent,Financial Analytics and Data Visualization,International Taxation and Compliance,job,yes,no,Guide,Work,stubborn,salary,smart worker,no,Accountant
84,5,1,6,8,7,yes,no,AutoCAD Certification,yes,RemoteWork,medium,medium,Physics and Mechanics,Artificial Intelligence and Machine Learning,job,yes,no,Childrens,salary,gentle,work,hard worker,yes,Engineer
90,11,6,4,9,9,no,no,Diploma in Accounting,yes,Fieldwork,medium,excellent,Financial Analytics and Data Visualization,International Taxation and Compliance,job,yes,no,Encyclopedias,Work,gentle,salary,smart worker,yes,Accountant
61,5,1,2,9,7,no,yes,Pharmacy Technician Certification (CPhT),no,OfficeBased,poor,excellent,Pharmacology,Clinical Pharmacy,job,yes,no,Horror,salary,stubborn,work,smart worker,no,Pharmacy
90,9,5,6,9,6,yes,no,Certificate in Laboratory Techniques,yes,RemoteWork,medium,poor,Lab Girl,Research and Development,higherstudies,yes,yes,Science fiction,Work,gentle,work,hard worker,yes,Scientist
70,9,2,1,8,6,no,no,Certificate in Financial Markets,yes,OfficeBased,poor,poor,Financial Statement Analysis,Financial Analysis,higherstudies,no,no,History,salary,stubborn,salary,hard worker,yes,Stock Investor
91,4,8,6,1,2,no,no,Diploma in Accounting,no,RemoteWork,poor,medium,Forensic Accounting,Financial Planning and Analysis,higherstudies,no,no,Guide,salary,stubborn,work,hard worker,yes,Accountant
93,4,4,0,2,9,no,no,Coursera: Introduction to Research Methods,no,OfficeBased,medium,excellent,The Structure of Scientific Revolutions,Academic Research and Teaching,higherstudies,no,yes,Satire,salary,stubborn,salary,hard worker,yes,Scientist
85,10,3,0,2,1,no,no,Coursera: Introduction to Digital Marketing,yes,Fieldwork,excellent,medium,Media Studies and Communication,Film and Television Production,higherstudies,yes,yes,Math,Work,stubborn,work,hard worker,no,Entertainment industry
74,9,1,2,2,7,yes,yes,Certified Nursing Assistant (CNA),yes,Fieldwork,poor,medium,Medical Ethics and Professionalism,Medical Research,higherstudies,yes,yes,Romance,salary,gentle,salary,smart worker,yes,Doctor
80,10,1,3,3,5,no,no,Certificate in Business Administration,yes,OfficeBased,medium,medium,The Lean Startup,Management Consulting,job,yes,no,History,Work,gentle,salary,smart worker,no,MBA
67,4,1,2,2,2,no,yes,Unity Certified User,no,Fieldwork,excellent,poor,Game Programming Patterns,Game Design,job,no,yes,Science,salary,gentle,salary,smart worker,no,Game Developer
68,9,3,0,6,6,yes,yes,Certificate in Banking and Finance,yes,RemoteWork,excellent,excellent,Corporate Finance,Investment Banking,job,yes,yes,Biographies,Work,stubborn,work,smart worker,yes,Banker
85,10,5,2,4,1,no,yes,AutoCAD Certification,no,OfficeBased,excellent,poor,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,higherstudies,no,yes,Autobiographies,salary,gentle,salary,smart worker,no,Engineer
83,4,8,1,9,8,no,yes,Coursera: Foundations of Business Strategy,no,Fieldwork,excellent,poor,The Lean Startup,Management Consulting,higherstudies,no,no,Diaries,Work,gentle,salary,smart worker,yes,MBA
91,10,2,0,6,1,no,yes,Certified Accounting Technician (CAT),no,Fieldwork,excellent,excellent,Forensic Accounting,International Taxation and Compliance,job,no,no,Guide,salary,stubborn,salary,smart worker,no,Accountant
62,7,7,6,7,1,no,yes,Coursera: Introduction to Game Development,yes,Fieldwork,medium,excellent,Game Programming Patterns,Game Programming,higherstudies,yes,yes,Prayer books,salary,stubborn,salary,hard worker,yes,Game Developer
90,4,8,2,2,6,yes,yes,Certificate in Laboratory Techniques,no,RemoteWork,medium,poor,The Structure of Scientific Revolutions,Research and Development,higherstudies,yes,no,Self help,salary,gentle,work,smart worker,yes,Scientist
62,10,6,3,1,6,no,yes,Associate Chartered Banker (ACIB),yes,RemoteWork,poor,excellent,Corporate Finance,Investment Banking,job,no,yes,Dictionaries,Work,stubborn,salary,smart worker,yes,Banker
89,9,9,3,7,5,yes,yes,Certified Accounting Technician (CAT),no,OfficeBased,poor,poor,Financial Analytics and Data Visualization,International Taxation and Compliance,job,no,no,Math,Work,gentle,work,hard worker,no,Accountant
78,8,3,1,4,4,no,no,National Board Certification (NBC),yes,RemoteWork,medium,excellent,Curriculum Development and Instructional Design,Educational Technology Specialist,job,no,no,Science,salary,gentle,salary,smart worker,yes,Teacher
92,11,4,4,7,5,yes,yes,Sports First Aid Certification,no,OfficeBased,medium,poor,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,higherstudies,yes,no,Anthology,Work,gentle,salary,hard worker,yes,Sports person
74,4,5,2,5,5,yes,no,Certificate in Legal Studies,yes,RemoteWork,excellent,poor,Constitutional Law,Corporate Law,higherstudies,yes,yes,Dictionaries,salary,stubborn,salary,smart worker,yes,Lawyer
93,11,3,3,8,1,no,yes,Sports First Aid Certification,no,OfficeBased,poor,medium,Sports Management and Administration,Sports Medicine and Athletic Training,higherstudies,yes,yes,Action and Adventure,salary,gentle,salary,hard worker,no,Sports person
73,6,5,5,1,5,yes,no,Certificate in Legal Studies,yes,OfficeBased,poor,medium,Constitutional Law,Corporate Law,job,yes,no,Action and Adventure,salary,stubborn,salary,smart worker,no,Lawyer
73,4,4,3,5,9,no,no,First Aid and CPR Certification,no,Fieldwork,poor,poor,Human Anatomy and Physiology,Public Health,job,yes,no,Trilogy,Work,gentle,salary,smart worker,yes,Doctor
86,6,1,2,8,4,yes,no,Sports First Aid Certification,no,OfficeBased,medium,poor,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,higherstudies,no,yes,Action and Adventure,salary,stubborn,salary,hard worker,yes,Sports person
61,4,4,3,4,7,yes,yes,Coursera: Introduction to Game Development,yes,Fieldwork,excellent,excellent,Game Programming Patterns,Game Programming,higherstudies,no,yes,Self help,salary,gentle,salary,hard worker,no,Game Developer
64,7,9,3,7,6,no,no,Diploma in Pharmaceutical Sciences,no,Fieldwork,poor,excellent,Pharmaceutical Chemistry,Pharmaceutical Research and Development,higherstudies,no,yes,Drama,salary,stubborn,salary,hard worker,no,Pharmacy
78,8,8,3,5,5,yes,yes,Coursera: Foundations of Business Strategy,no,RemoteWork,medium,medium,The Lean Startup,Entrepreneurship and Startup Management,job,yes,no,History,salary,stubborn,salary,hard worker,yes,MBA
74,6,8,3,9,8,no,yes,Coursera: Introduction to Law,yes,RemoteWork,excellent,poor,Legal Research and Writing,Litigation,higherstudies,yes,no,Childrens,salary,gentle,work,smart worker,no,Lawyer
62,6,7,2,5,4,no,yes,Certificate in Banking and Finance,yes,Fieldwork,excellent,excellent,Corporate Finance,Private Wealth Management,job,yes,no,Autobiographies,Work,gentle,salary,smart worker,yes,Banker
86,6,6,2,1,9,yes,no,Coursera: Introduction to Research Methods,no,Fieldwork,excellent,excellent,Lab Girl,Research and Development,higherstudies,yes,yes,Self help,salary,gentle,work,smart worker,no,Scientist
88,8,9,1,7,3,no,no,Diploma in Accounting,yes,Fieldwork,medium,poor,Forensic Accounting,Financial Planning and Analysis,job,yes,yes,Fantasy,Work,stubborn,salary,smart worker,no,Accountant
60,9,2,1,3,3,yes,yes,Unity Certified User,yes,RemoteWork,medium,excellent,Game Programming Patterns,Game Design,job,yes,no,Travel,Work,stubborn,salary,smart worker,yes,Game Developer
93,10,9,0,2,2,yes,no,Sports First Aid Certification,no,RemoteWork,excellent,excellent,Sports Management and Administration,Sports Medicine and Athletic Training,job,yes,yes,Cookbooks,salary,gentle,work,hard worker,no,Sports person
73,10,5,5,8,1,no,no,Coursera: Introduction to Law,no,OfficeBased,excellent,excellent,Legal Research and Writing,Corporate Law,job,yes,yes,Art,salary,gentle,work,smart worker,no,Lawyer
72,10,3,5,5,8,yes,yes,Investopedia: Stock Market Investing Course,no,RemoteWork,medium,excellent,Financial Statement Analysis,Portfolio Management,higherstudies,no,yes,Journals,salary,gentle,salary,hard worker,yes,Stock Investor
78,9,8,6,7,5,yes,yes,Certificate in Media Production,yes,OfficeBased,poor,poor,Entertainment Business and Management,Film and Television Production,job,no,no,Mystery,salary,stubborn,work,smart worker,no,Entertainment industry
74,9,2,1,6,9,no,no,Investopedia: Stock Market Investing Course,no,OfficeBased,medium,poor,The Intelligent Investor,Portfolio Management,job,no,yes,Horror,Work,gentle,salary,smart worker,yes,Stock Investor
68,7,6,0,7,7,no,yes,Coursera: Introduction to Law,no,OfficeBased,poor,poor,Constitutional Law,Litigation,job,yes,no,Action and Adventure,salary,gentle,work,smart worker,no,Lawyer
88,8,3,0,8,4,yes,yes,Sports First Aid Certification,yes,Fieldwork,excellent,poor,Sports Management and Administration,Sports Medicine and Athletic Training,job,no,no,Autobiographies,salary,gentle,work,hard worker,no,Sports person
76,12,1,0,4,6,yes,yes,Investopedia: Stock Market Investing Course,yes,RemoteWork,excellent,medium,The Intelligent Investor,Financial Analysis,higherstudies,no,yes,History,Work,gentle,salary,hard worker,yes,Stock Investor
65,12,9,1,5,6,no,no,Diploma in Pharmaceutical Sciences,yes,RemoteWork,medium,poor,Pharmaceutical Chemistry,Clinical Pharmacy,higherstudies,no,yes,Fantasy,salary,gentle,work,smart worker,no,Pharmacy
73,4,2,6,3,5,no,yes,First Aid and CPR Certification,yes,OfficeBased,excellent,poor,Medical Ethics and Professionalism,Medical Research,higherstudies,no,no,Religion-Spirituality,Work,stubborn,salary,hard worker,no,Doctor
78,10,5,4,2,4,no,no,Certificate in Business Administration,no,OfficeBased,medium,medium,Master the Art of Business,Entrepreneurship and Startup Management,higherstudies,yes,yes,Health,salary,gentle,salary,hard worker,no,MBA
60,6,7,6,4,7,yes,no,Diploma in Pharmaceutical Sciences,yes,RemoteWork,poor,excellent,Pharmacology,Pharmaceutical Research and Development,job,no,no,Journals,Work,gentle,work,smart worker,yes,Pharmacy
70,11,3,3,3,8,no,yes,Investopedia: Stock Market Investing Course,no,OfficeBased,medium,medium,Financial Statement Analysis,Portfolio Management,higherstudies,yes,no,Horror,Work,gentle,work,smart worker,yes,Stock Investor
78,7,8,6,4,1,yes,yes,Certificate in Business Administration,yes,OfficeBased,poor,excellent,Master the Art of Business,Management Consulting,job,no,yes,Drama,salary,gentle,work,hard worker,no,MBA
74,11,6,1,7,8,yes,no,Certified Nursing Assistant (CNA),yes,Fieldwork,excellent,excellent,Human Anatomy and Physiology,Public Health,job,yes,yes,Science fiction,salary,gentle,salary,hard worker,no,Doctor
62,6,3,5,9,1,yes,yes,Coursera: Introduction to Game Development,yes,Fieldwork,medium,medium,Unity in Action,Game Design,job,yes,yes,Series,salary,stubborn,work,hard worker,no,Game Developer
69,7,4,1,3,3,yes,no,Coursera: Introduction to Law,yes,RemoteWork,poor,excellent,Constitutional Law,Corporate Law,job,yes,no,Art,salary,stubborn,salary,hard worker,no,Lawyer
68,4,4,0,4,3,yes,no,First Aid and CPR Certification,yes,RemoteWork,poor,excellent,Medical Ethics and Professionalism,Public Health,higherstudies,yes,yes,Satire,Work,gentle,salary,hard worker,yes,Doctor
72,11,6,1,3,3,no,no,Investopedia: Stock Market Investing Course,no,RemoteWork,medium,poor,The Intelligent Investor,Financial Analysis,higherstudies,no,yes,Guide,salary,stubborn,salary,hard worker,yes,Stock Investor
60,10,6,6,4,1,no,yes,Associate Chartered Banker (ACIB),no,OfficeBased,excellent,medium,Corporate Finance,Investment Banking,job,no,no,Childrens,Work,gentle,salary,hard worker,yes,Banker
91,6,7,2,8,1,no,no,Diploma in Accounting,yes,Fieldwork,excellent,medium,Financial Analytics and Data Visualization,Financial Planning and Analysis,higherstudies,no,no,Journals,salary,gentle,work,hard worker,yes,Accountant
91,5,6,2,6,8,yes,yes,Certified Fitness Trainer (CFT),no,RemoteWork,excellent,medium,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,higherstudies,no,no,Anthology,Work,gentle,salary,smart worker,no,Sports person
67,5,8,0,9,8,no,yes,Diploma in Pharmaceutical Sciences,no,Fieldwork,excellent,poor,Pharmacology,Clinical Pharmacy,job,no,no,Guide,Work,stubborn,work,smart worker,no,Pharmacy
93,7,7,2,8,7,no,yes,Diploma in Accounting,no,RemoteWork,medium,medium,Forensic Accounting,Financial Planning and Analysis,higherstudies,no,yes,Health,Work,stubborn,work,hard worker,no,Accountant
69,7,3,2,7,6,no,yes,Certificate in Financial Markets,no,OfficeBased,medium,poor,Financial Statement Analysis,Financial Analysis,higherstudies,no,yes,Health,Work,stubborn,work,smart worker,yes,Stock Investor
